XODR Coordinates for (s, t) Coordinates on R1
====================================================================================================

         s |          t |          XODR X |          XODR Y |          XODR Z |            RD X |            RD Y |            RD Z
    3469.0 |      0.000 |      172.129490 |       38.970467 |        5.786000 |      174.076790 |       34.028124 |        5.786000
    3470.0 |      0.000 |      171.510180 |       39.774860 |        5.786000 |      173.468918 |       34.821932 |        5.786000
    3471.0 |      0.000 |      170.891914 |       40.580371 |        5.786000 |      172.862076 |       35.616844 |        5.786000
    3472.0 |      0.000 |      170.274955 |       41.386850 |        5.786000 |      172.256521 |       36.412714 |        5.786000
    3473.0 |      0.000 |      169.659466 |       42.194274 |        5.786000 |      171.652415 |       37.209520 |        5.786000
    3474.0 |      0.000 |      169.045548 |       43.002706 |        5.786000 |      171.049856 |       38.007322 |        5.786000
    3475.0 |      0.000 |      168.433067 |       43.812515 |        5.786000 |      170.448713 |       38.806486 |        5.786000
    3476.0 |      0.000 |      167.822225 |       44.623629 |        5.786000 |      169.849186 |       39.606941 |        5.786000
    3477.0 |      0.000 |      167.213253 |       45.435940 |        5.786000 |      169.251500 |       40.408580 |        5.786000
    3478.0 |      0.000 |      166.606248 |       46.249510 |        5.786000 |      168.655752 |       41.211464 |        5.786000
    3479.0 |      0.000 |      166.001106 |       47.064675 |        5.786000 |      168.061841 |       42.015927 |        5.786000
    3480.0 |      0.000 |      165.397939 |       47.881488 |        5.786000 |      167.469874 |       42.822019 |        5.786000
    3481.0 |      0.000 |      164.797038 |       48.699750 |        5.786000 |      166.880142 |       43.629544 |        5.786000
    3482.0 |      0.000 |      164.198505 |       49.519524 |        5.786000 |      166.292740 |       44.438565 |        5.786000
    3483.0 |      0.000 |      163.602286 |       50.341081 |        5.786000 |      165.707619 |       45.249351 |        5.786000
    3484.0 |      0.000 |      163.008390 |       51.164614 |        5.786000 |      165.124788 |       46.062090 |        5.786000
    3485.0 |      0.000 |      162.417162 |       51.989849 |        5.786000 |      164.544584 |       46.876513 |        5.786000
    3486.0 |      0.000 |      161.828701 |       52.816848 |        5.786000 |      163.967107 |       47.692682 |        5.786000
    3487.0 |      0.000 |      161.242851 |       53.645623 |        5.786000 |      163.392201 |       48.510608 |        5.786000
    3488.0 |      0.000 |      160.655732 |       54.473807 |        5.786000 |      162.816046 |       49.327948 |        5.786000
    3489.0 |      0.000 |      160.066805 |       55.300718 |        5.786000 |      162.238108 |       50.144029 |        5.786000
    3490.0 |      0.000 |      159.477076 |       56.127064 |        5.786000 |      161.659383 |       50.959551 |        5.786000
