================================================================================
RESULTS SUMMARY
================================================================================

XODR coordinates for (s, t) coordinates on R1:

----------------------------------------------------------------------------------------------------
         s |          t |          XODR X |          XODR Y |          XODR Z |            RD X |            RD Y |            RD Z
     594.0 |      0.000 |     -158.484439 |     -287.423961 |       11.350786 |     -151.812023 |     -288.708029 |       11.350786
     595.0 |      0.000 |     -158.801537 |     -288.383937 |       11.335356 |     -152.125771 |     -289.656529 |       11.335356
     596.0 |      0.000 |     -159.114992 |     -289.345972 |       11.319925 |     -152.435939 |     -290.607057 |       11.319925
     597.0 |      0.000 |     -159.424708 |     -290.309968 |       11.304495 |     -152.742432 |     -291.559518 |       11.304495
     598.0 |      0.000 |     -159.730285 |     -291.274862 |       11.289064 |     -153.044854 |     -292.512862 |       11.289064
     599.0 |      0.000 |     -160.031672 |     -292.240648 |       11.273634 |     -153.343154 |     -293.467082 |       11.273634
     600.0 |      0.000 |     -160.328814 |     -293.207316 |       11.258204 |     -153.637280 |     -294.422170 |       11.258204
     601.0 |      0.000 |     -160.621659 |     -294.174860 |       11.242650 |     -153.927179 |     -295.378117 |       11.242650
     602.0 |      0.000 |     -160.910514 |     -295.144492 |       11.226642 |     -154.213157 |     -296.336122 |       11.226642
     603.0 |      0.000 |     -161.195306 |     -296.116191 |       11.210160 |     -154.495141 |     -297.296164 |       11.210160
     604.0 |      0.000 |     -161.475619 |     -297.088745 |       11.193205 |     -154.772719 |     -298.257046 |       11.193205
     605.0 |      0.000 |     -161.751400 |     -298.062146 |       11.175776 |     -155.045839 |     -299.218760 |       11.175776
     606.0 |      0.000 |     -162.022595 |     -299.036386 |       11.157874 |     -155.314450 |     -300.181297 |       11.157874
     607.0 |      0.000 |     -162.289151 |     -300.011458 |       11.139498 |     -155.578497 |     -301.144650 |       11.139498
     608.0 |      0.000 |     -162.551349 |     -300.988611 |       11.120648 |     -155.838261 |     -302.110055 |       11.120648
     609.0 |      0.000 |     -162.809117 |     -301.967839 |       11.101325 |     -156.093669 |     -303.077504 |       11.101325
     610.0 |      0.000 |     -163.062061 |     -302.947878 |       11.081528 |     -156.344332 |     -304.045749 |       11.081528
     611.0 |      0.000 |     -163.310126 |     -303.928720 |       11.061258 |     -156.590197 |     -305.014781 |       11.061258
     612.0 |      0.000 |     -163.553260 |     -304.910357 |       11.040514 |     -156.831211 |     -305.984593 |       11.040514
     613.0 |      0.000 |     -163.791408 |     -305.892779 |       11.019297 |     -157.067321 |     -306.955176 |       11.019297
     614.0 |      0.000 |     -164.024812 |     -306.877240 |       10.997606 |     -157.298767 |     -307.927767 |       10.997606
     615.0 |      0.000 |     -164.253383 |     -307.863670 |       10.975441 |     -157.525462 |     -308.902297 |       10.975441
     616.0 |      0.000 |     -164.476781 |     -308.850866 |       10.952803 |     -157.747069 |     -309.877578 |       10.952803
