s_m,x_m,y_m
128.52707601259786,99.74127697953577,141.67799785560973
130.51721195156162,98.37892078142669,140.2272647150808
132.55652926749383,97.05926594672566,138.67248941545992
134.64033881264655,95.77907860447975,137.02829277599645
136.7622181908478,94.53512488373616,135.3092956159395
138.91439843935726,93.32417091354196,133.53011875453836
141.08807409109596,92.14298282294433,131.70538301104233
143.27365317754794,90.98832674099037,129.84970920470056
145.46096232101533,89.85696879672722,127.97771815476236
147.63942012161687,88.74567511920199,126.10403068047691
149.79819039950056,87.65121183746184,124.24326760109346
151.92632589509176,86.57034508055386,122.41004973586128
154.01291298862722,85.49984097752521,120.6189979040296
156.0472291119029,84.436465657423,118.88473292484764
158.01892715156131,83.37698524929438,117.22187561756465
159.98301231054828,82.28866524283468,115.58688629793826
161.98282230487112,81.17449572687926,113.92620381681517
163.98260444732477,80.05845669950219,112.26681070285821
165.98236165455074,78.94057448039366,110.60868880382507
167.982096735904,77.82087538924391,108.95181996747341
169.98181239496955,76.69938574574311,107.29618604156092
171.98151123108076,75.57613186958153,105.64176887384521
173.9811957408389,74.45114008044933,103.98855031208402
175.9808683196343,73.32443669803673,102.33651220403496
177.98053126316861,72.19604804203398,100.68563639745575
179.9801867689784,71.06600043213123,99.03590474010402
181.97983693795976,69.93432018801873,97.38729907973745
183.97948377589415,68.80103362938668,95.73980126411374
185.97912919497512,67.6661670759253,94.09339314099051
187.97877501533594,66.52974684732479,92.44805655812546
189.97842296657822,65.39179926327536,90.80377336327625
191.97807468930122,64.25235064346722,89.16052540420056
193.97773173663197,63.1114273075906,87.51829452865604
195.97739557575602,61.969055575335695,85.87706258440038
197.97706758944884,60.82526176639271,84.23681141919121
199.9767490776078,59.68007220045186,82.59752288078626
201.97644125878472,58.53351319720337,80.95917881694315
203.9761452717188,57.38561107633743,79.32176107541959
205.97586217687007,56.23639215754427,77.6852515039732
207.97559295795313,55.08588276051409,76.04963195036169
209.97533852347135,53.93410920493711,74.41488426234272
211.97509970825135,52.78109781050352,72.78099028767393
213.97487727497753,51.626874896903544,71.14793187411301
215.97467191572719,50.471466783827395,69.51569086941767
217.97448425350564,49.314899790965285,67.88424912134549
219.97431484378134,48.15720023800743,66.25358847765422
221.9741641760215,46.99839444464402,64.6236907861015
223.97403267522756,45.83850873056529,62.994537894445
225.9739207034707,44.677569415461434,61.36611165044239
227.9738285614276,43.51560281902267,59.73839390185133
229.97375648991613,42.3526352609392,58.1113664964295
231.97370467143085,41.18869306090126,56.48501128193457
233.97367323167896,40.023802538599014,54.85931010612418
235.97366224111565,38.857990013722734,53.234244816756046
237.97367171647994,37.691281805962575,51.609797261587815
239.97370162233003,36.523704235008786,49.98594928837715
241.97375187257882,35.35528362055155,48.36268274488172
243.97382233202916,34.186046282281104,46.73997947885922
245.9739128179092,33.016018539887654,45.1178213380673
247.97402310140748,31.845226713061376,43.496190170263596
249.97415290920785,30.673697121492527,41.87506782320584
251.97430192502446,29.501456084871286,40.25443614465166
253.9744697911364,28.32852992288789,38.63427698235874
255.97465610992236,27.154944955232526,37.01457218408474
257.97486044539494,25.980727501595425,35.39530359758735
259.97508232473507,24.80590388166678,33.776453070624214
261.97532123982614,23.630500415136822,32.15800245095303
263.9755766487879,22.454543421695725,30.539933586331415
265.97584797751034,21.278059221033764,28.922228324517118
267.9761346211873,20.101074132841077,27.304868513267714
269.9764359458502,18.923614476807916,25.687836000340944
271.9767512899011,17.745706572624492,24.071112633494444
273.97707996564606,16.567376739981,22.454680260485922
275.9774212608284,15.38865129856767,20.838520729073
277.9777744401615,14.209556568074692,19.22261588701336
279.97813874686153,13.0301188681923,17.6069475820647
281.9785134041804,11.850364518610673,15.991497661984624
283.9788976169379,10.670319839020056,14.376247974530887
285.97929057305475,9.490011149110629,12.761180367461083
287.9796914450844,8.309464768572637,11.146276688532918
289.98009939174574,7.1287070170962465,9.531518785504062
291.9805135594549,5.947764214371717,7.91688850613218
